Speaker name,Category/topic tags,State,Notes
Aarathi Arumugam,Business; Diversity & Inclusion; Inspirational; Resilience; Storytelling,International (Asia; Singapore),Gender: Female
Aaron Pedersen,After Dinner Speakers; Indigenous Speakers; Master of Ceremonies (MCs) & Hosts,NSW (Tweed Heads),Gender: Male
Aaron Ross,Business,International (USA),Gender: Male
Aaron Williams,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; People & Culture; Virtual",QLD (Brisbane/Sunshine Coast),Gender: Male
Abbey Holmes,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Abbey Stone,,VIC (Melbourne),Gender: Female
Abbie White,"Advertising & Marketing; AI; Business; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Abdullahi Alim,Business; Creativity & Innovation; Diversity & Inclusion; Inspirational; Politics & Law,International (Belgium),Gender: Male
Ada Nicodemou,Master of Ceremonies (MCs) & Hosts,NSW,Gender: Female
Adam Axford,Inspirational; Storytelling; Team Building,NSW (Sydney),Gender: Male
Adam Cheyer,"Business; Economy & Finance; Technology, Future & Innovation",International (USA),Gender: Male
Adam Ferrier,Advertising & Marketing; Business; Creativity & Innovation,VIC,Gender: Male
Adam Franklin,AI; Business; Creativity & Innovation; Media; Social Media & Networking,QLD (Brisbane),Gender: Male
Adam Gilchrist AM,Celebrity; Sport,WA (Perth),Gender: Male
Adam Hills,Diversity & Inclusion; Inspirational; Media; Motivational,International; VIC (Melbourne; UK),Gender: Male
Adam Liaw,After Dinner Speakers; Celebrity; Food & Wine,NSW (Sydney),Gender: Male
Adam Mada,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Adam Simpson,Business; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Sport; Team Building,WA (Perth),Gender: Male
Adam Spencer,"AI; Media; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Adam Williams,"Business; Inspirational; Leadership; Motivational; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Adrian Barich,Master of Ceremonies (MCs) & Hosts; Motivational; Sport,WA (Perth),Gender: Male
Aerial Angels,,QLD,Gender: Female
Afterburner,Business; Leadership; Military; Team Building; Virtual,NSW (Sydney),
Aidan Grimes,Adventurers; Inspirational; Leadership; Military; Motivational; People & Culture; Sport; Team Building,QLD (Brisbane),Gender: Male
Aimee Marks,Business; Creativity & Innovation; Education; Intergenerational Influencers; Social Trends & Current Affairs,VIC (Melbourne),Gender: Female
Akash Karia,Business; Leadership; Motivational; People & Culture; Storytelling; Team Building,International (Hong Kong),Gender: Male
Akec Makur Chuot,Business; Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts; Media; Sport; Storytelling,VIC (Melbourne),Gender: Female
Akram Azimi,Diversity & Inclusion; Education; Inspirational; Leadership; Motivational,WA (Perth),Gender: Male
Alan Kohler,Business; Economy & Finance,VIC (Melbourne),Gender: Male
Alan Newey,"Diversity & Inclusion; Health, Lifestyle & Wellbeing",VIC (Melbourne),Gender: Male
Alan Oxley,Business; Economy & Finance; Environment & Climate Change; Leadership; Social Trends & Current Affairs; World Affairs,VIC (Melbourne),Gender: Male
Alan Patching,Business; Leadership; Master of Ceremonies (MCs) & Hosts,QLD (Brisbane),Gender: Male
Alan Tongue,Inspirational; Motivational; Resilience; Sport,ACT (Canberra),Gender: Male
Alastair Clarkson,Leadership; Sport,VIC,Gender: Male
Alastair Lynch,Celebrity; Motivational; Sport,QLD (Brisbane),Gender: Male
Alex Banayan,Business; Creativity & Innovation; Intergenerational Influencers; Leadership; Virtual,International (USA),Gender: Male
Alex Briggs,Sport; Storytelling,NSW (Brisbane; Gold Coast),Gender: Male
Alex Moffat,Leadership; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Alex Perry,Business; Celebrity; Intergenerational Influencers; Media,NSW,Gender: Male
Alex Wadelton,Advertising & Marketing; Authors; Business; Creativity & Innovation; Education; Mental Health & Wellness; Motivational,VIC (Melbourne),Gender: Male
Alexa Towersey,"Adventurers; After Dinner Speakers; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Motivational",NSW (Sydney),Gender: Female
Alexander Heffner,People & Culture; Politics & Law; World Affairs,International (USA),Gender: Male
Alexandra Hudson,Creativity & Innovation; Diversity & Inclusion; Mental Health & Wellness; Storytelling,NSW (Ballina),Gender: Female
Alexandra Smart,Business; Creativity & Innovation; Master of Ceremonies (MCs) & Hosts; Motivational; Sustainability,NSW (Sydney),Gender: Female
Alexia Hilbertidou,"Business; Inspirational; Intergenerational Influencers; Leadership; Social Media & Networking; Technology, Future & Innovation",New Zealand (Auckland),Gender: Female
Alexis Daish,Master of Ceremonies (MCs) & Hosts; Media; Storytelling,VIC (Melbourne),Gender: Female
Ali Ahmadi,Business; Inspirational; Leadership; People & Culture; Resilience; Team Building,SA (Adelaide),Gender: Male
Ali Clarke,Celebrity; Master of Ceremonies (MCs) & Hosts,SA (Adelaide),Gender: Female
Ali Moore,Master of Ceremonies (MCs) & Hosts; Media,VIC,Gender: Female
Alice Bleatham,"Adventurers; Food & Wine; Health, Lifestyle & Wellbeing; Social Media & Networking",NSW (Bogangar),Gender: Female
Alicia Coutts OAM OLY,"Celebrity; Health, Lifestyle & Wellbeing; Motivational; Sport",QLD (Brisbane),Gender: Female
Alicia Janz,Diversity & Inclusion; Indigenous Speakers; Inspirational; Leadership; Sport; Team Building,WA (Perth),Gender: Female
Alicia Loxley,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Alicia Stephenson,Business; Leadership,VIC (Melbourne),Gender: Female
Alinta Chidzey,Inspirational; Mental Health & Wellness; Resilience,VIC (Melbourne),Gender: Female
Alisa Camplin AM OLY,Business; Resilience; Sport; Virtual,VIC (Melbourne),Gender: Female
Alison Crabb,Business; Leadership,VIC (Melbourne),Gender: Female
Alison Keane,"Health, Lifestyle & Wellbeing; Mental Health & Wellness; People & Culture",QLD,Gender: Female
Alison Nancye,"Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Resilience",QLD (Coolangatta; Gold Coast),Gender: Female
Alison Venter,"Diversity & Inclusion; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership",TAS (Launceston),Gender: Female
Allison Mooney,Business; Inspirational; Intergenerational Influencers; People & Culture; Team Building,New Zealand (Auckland),Gender: Female
Allison Shreeve,Business; Celebrity; Inspirational; Motivational; Social Media & Networking; Sport,NSW,Gender: Female
Alma Zygier,,VIC (Melbourne),Gender: Female
Alvin Quah,After Dinner Speakers; Food & Wine,NSW (Sydney),Gender: Male
Amanda Gore,"Business; Health, Lifestyle & Wellbeing; Leadership; People & Culture",International (USA),Gender: Female
Amanda Johnstone,"AI; Business; Creativity & Innovation; Leadership; Mental Health & Wellness; Technology, Future & Innovation; Virtual",NSW (Sydney),Gender: Female
Amanda Keller,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Amanda Stevens,"Business; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Virtual",QLD (Brisbane; Sunshine Coast),Gender: Female
Amberley Lobo,Master of Ceremonies (MCs) & Hosts,WA (Perth),Gender: Female
Amelia Brace,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Amit Prakash,Business,International (Asia; Singapore),Gender: Male
Amna Karra-Hassan,"Business; Diversity & Inclusion; Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; People & Culture; Social Trends & Current Affairs; Sport; Team Building; Virtual",NSW (Sydney),Gender: Female
Amrit Sandhu,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational",VIC (Melbourne),Gender: Male
Amy Carter-James,After Dinner Speakers; Environment & Climate Change; Inspirational; Leadership; Social Trends & Current Affairs; Sustainability; World Affairs,WA (Margaret River; Perth),Gender: Female
Amy Jacobson,Business; Leadership; People & Culture; Team Building,WA (Perth),Gender: Female
Amy Purdy,Authors; Diversity & Inclusion; Inspirational; Motivational; Resilience; Sport,International (USA),Gender: Female
Anaita Sarkar,"Business; Environment & Climate Change; Leadership; Sustainability; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Anders Sörman-Nilsson,"AI; Business; Intergenerational Influencers; Leadership; Sustainability; Technology, Future & Innovation",NSW (Palm Beach),Gender: Male
Andi Lew,"Business; Education; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; People & Culture; Social Media & Networking; Social Trends & Current Affairs",International (USA),Gender: Female
Andi Lucas,Business; Diversity & Inclusion; Environment & Climate Change; Inspirational; Resilience,TAS (Launceston),Gender: Female
Andre Agassi,Celebrity; Motivational; Sport,International (USA),Gender: Male
Andre King,After Dinner Speakers,Australia; New Zealand (Auckland),Gender: Male
Andrea Clarke,"Business; Creativity & Innovation; People & Culture; Technology, Future & Innovation; Virtual",NSW (Sydney),Gender: Female
Andrea Edwards,Business,International (Asia; Singapore),Gender: Female
Andrew Barnett,Master of Ceremonies (MCs) & Hosts,NSW,Gender: Male
Andrew Benefield,Business,NSW (Sydney),Gender: Male
Andrew Bogut,Celebrity; Inspirational; Motivational; Sport,QLD (SE QLD),Gender: Male
Andrew Bryant,Leadership,International (Asia; Singapore),Gender: Male
Andrew Campbell,"Business; Creativity & Innovation; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Andrew Costello (Cosi),Celebrity; Master of Ceremonies (MCs) & Hosts; Motivational,SA (Adelaide),Gender: Male
Andrew Daddo,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
