Speaker name,Category/topic tags,State,Notes
A. Wess Mitchell,"After Dinner; Entertainment; Government & Politics; International Affairs & Security; Politics, Government & Global Affairs",Americas > US,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: American Foreign Policy Expert, former U.S. Assistant Secretary of State for European and Eurasian Affairs"
Aaron Balick,"Health & Wellbeing; Keynote; Psychology; Resilience, Wellbeing & Happiness; Social Media; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Director, Stillpoint Spaces London, and UKCP Media Spokesperson"
Aaron David Miller,Government & Politics; International Affairs & Security; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Middle East Analyst & Author"
Aaron Dignan,Business & Leadership; Workplace innovation,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Founder at The Ready"
Aaron Weinstein,"After Dinner; History, Arts & Literary; Keynote",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Award-Winning Master Jazz Violinist"
Abdullah Gul,Finance & Markets; Geopolitics; Government & Politics; International Affairs & Security; Leadership,Asia > Turkey,"Speaking fee: $15,000 | Gender: Male | Site tagline: Politican and former President of Turkey"
Abhijit Naskar,"Neuroscience; Technology, Innovation & Science",Asia > India,"Speaking fee: $15,000 | Gender: Male | Site tagline: Internationally celebrated Neuroscientist"
Abhilash Tomy,Entertainment; Inspirational & Motivational; Keynote; Sports & Olympics,Asia > India,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Naval officer and Record-Breaking Solo Yachtsman"
Abigail Posner,"AI - Emerging Tech; Business; Business & Leadership; Entrepreneurs; Leadership; Technology, Innovation & Science; Workplace innovation",Global,"Speaking fee: $15,000 | Gender: Female | Site tagline: Former Director, U.S. Creative Works, Google & Founder, Human Code Company"
AC Grayling,"After Dinner; Entertainment; Global Health; Health & Wellbeing; History, Arts & Literary; Keynote; Philanthropy & Ethics; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Philosopher, Educationalist & Ethicist"
Adah Parris,"Business & Leadership; Diversity, Inclusion & Gender Equality; Entertainment; Human Rights; Keynote; Politics, Government & Global Affairs; Science; Society, Culture & Education; Technology, Innovation & Science; TED; Workplace innovation; International Women's Day; Pride",Europe > UK,"Speaking fee: $15,000 | Exclusive | Gender: Female | Site tagline: Futurist , Artist, Relational Ecologist"
Adair Turner,Economic & Financial Affairs; Energy; Environment & Sustainability; ESG; Finance & Markets; Keynote; Energy Transition,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Senior Fellow at the Institute for New Economic Thinking (INET)"
Adam Boulton,After Dinner; Government & Politics; International Affairs & Security; Keynote; Moderators & Chairpersons,Europe > UK,"Speaking fee: $15,000 | Site tagline: Britain's Longest Serving Political Editor"
Adam Braun,"Business & Leadership; Entertainment; Entrepreneurs; Health & Wellbeing; Inspirational & Motivational; Leadership; Resilience, Wellbeing & Happiness",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: New York Times Bestselling Author, Entrepreneur & Philanthropist"
Adam Cheyer,AI - Emerging Tech; Business; Entrepreneurs; Keynote; Science; Workplace innovation,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: AI Pioneer, Creator of Apple's Siri & Samsung's Bixby AI Assistants"
Adam Dixon,"Economic & Financial Affairs; Entertainment; Environment & Sustainability; ESG; Finance & Markets; Geopolitics; Globalization; Moderators & Chairpersons; Politics, Government & Global Affairs",Europe > UK,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Adam Smith Chair in Sustainable Capitalism -"
Adam Frost,"Business & Leadership; Education - Policy & Practice; Entertainment; Entrepreneurs; Environment & Sustainability; ESG; Health & Wellbeing; Inspirational & Motivational; Media; Resilience, Wellbeing & Happiness; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: BBC Gardeners’ World Presenter & Designer"
Adam Galinsky,Business; Business & Leadership; Entertainment; Health & Wellbeing; Keynote; Leadership; Psychology; TED,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Columbia Business School Professor, Social Psychologist, & Leadership Expert"
Adam Gries,"AI - Emerging Tech; Business; Business & Leadership; Entrepreneurs; Health & Wellbeing; Leadership; Longevity & Lifespan; Technology, Innovation & Science; Workplace innovation",Global,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Founder of Vitalism & Expert on Longevity, Innovation and the Future of Health"
Adam Karnama,Business & Leadership; Energy; Entrepreneurs; Environment & Sustainability; Leadership; Workplace innovation,Global,"Speaking fee: $15,000 | Gender: Male | Site tagline: Impact Executive, Energy Innovator & Sustainable Systems Expert"
Adam Kay,"After Dinner; Diversity, Inclusion & Gender Equality; Entertainment; Health & Wellbeing; Healthcare; History, Arts & Literary; Keynote; Science; Society, Culture & Education; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Comedian & Best-selling Author, 'This Is Going to Hurt'"
Adam Kingl,Business; Business & Leadership,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Author & Educator"
